customer_id,recency,frequency,price_sum,price_mean,spend_90_total,spend_90_flag
1,-455,1,11.77,11.77,0.0,0.0
2,-444,2,89.0,44.5,0.0,0.0
3,-127,5,139.47,27.894,16.99,1.0
4,-110,4,100.5,25.125,0.0,0.0
5,-88,11,385.61,35.055454545454545,0.0,0.0
6,-455,1,20.99,20.99,0.0,0.0
7,-10,3,264.67,88.22333333333334,0.0,0.0
8,-3,8,197.66,24.7075,0.0,0.0
9,-323,2,53.87,26.935,41.98,1.0
10,-435,1,39.31,39.31,0.0,0.0
11,-40,4,58.550000000000004,14.637500000000001,0.0,0.0
12,-455,1,57.06,57.06,0.0,0.0
13,-455,1,72.94,72.94,0.0,0.0
14,-455,1,29.92,29.92,0.0,0.0
15,-455,1,52.87,52.87,0.0,0.0
16,-203,4,79.87,19.9675,0.0,0.0
17,-455,1,73.22,73.22,0.0,0.0
18,-452,1,14.96,14.96,0.0,0.0
19,-295,2,175.12,87.56,0.0,0.0
20,-438,2,653.01,326.505,0.0,0.0
21,-443,2,75.11,37.555,0.0,0.0
22,-455,1,14.37,14.37,0.0,0.0
23,-455,1,24.74,24.74,0.0,0.0
24,-71,2,57.77,28.885,0.0,0.0
25,-159,4,64.1,16.025,73.43,1.0
26,-430,2,102.69,51.345,0.0,0.0
27,-444,2,135.87,67.935,0.0,0.0
28,-389,3,90.99,30.33,0.0,0.0
29,-150,11,387.36,35.21454545454546,48.45,1.0
30,-411,2,28.34,14.17,0.0,0.0
31,-455,1,59.06,59.06,117.99000000000001,1.0
32,-21,3,78.21,26.069999999999997,0.0,0.0
33,-19,25,1045.47,41.8188,0.0,0.0
34,-455,1,23.14,23.14,0.0,0.0
35,-186,2,42.22,21.11,0.0,0.0
36,-422,2,49.67999999999999,24.839999999999996,0.0,0.0
37,-150,5,128.2,25.639999999999997,27.48,1.0
38,-455,1,12.49,12.49,0.0,0.0
39,-21,5,221.45,44.29,0.0,0.0
40,-24,14,318.94,22.78142857142857,0.0,0.0
41,-455,1,17.99,17.99,0.0,0.0
42,-454,2,38.32,19.16,0.0,0.0
43,-124,4,102.83,25.7075,14.49,1.0
44,-286,3,59.65,19.883333333333333,0.0,0.0
45,-455,1,14.37,14.37,0.0,0.0
46,-140,7,315.87,45.12428571428571,0.0,0.0
47,-10,19,400.82,21.09578947368421,26.98,1.0
48,-10,18,610.96,33.94222222222223,38.97,1.0
49,-455,1,27.94,27.94,0.0,0.0
50,-455,1,6.79,6.79,0.0,0.0
51,-121,6,367.38,61.23,0.0,0.0
52,-284,7,368.7,52.67142857142857,76.98,1.0
53,-51,5,72.22,14.443999999999999,13.99,1.0
54,-455,1,33.96,33.96,0.0,0.0
55,-446,2,81.45,40.725,0.0,0.0
56,-105,4,129.19,32.2975,0.0,0.0
57,-455,1,57.86,57.86,0.0,0.0
58,-455,1,20.99,20.99,0.0,0.0
59,-431,3,36.53,12.176666666666668,0.0,0.0
60,-424,1,21.75,21.75,0.0,0.0
61,-455,1,155.65,155.65,0.0,0.0
62,-154,11,237.15,21.55909090909091,0.0,0.0
63,-130,2,71.95,35.975,48.96,1.0
64,-29,10,272.35,27.235000000000003,95.02,1.0
65,-10,3,68.74,22.91333333333333,0.0,0.0
66,-455,1,39.99,39.99,0.0,0.0
67,-439,3,71.49,23.83,0.0,0.0
68,-455,1,40.36,40.36,0.0,0.0
69,-452,2,217.07999999999998,108.53999999999999,0.0,0.0
70,-455,1,72.23,72.23,0.0,0.0
71,-455,1,13.97,13.97,0.0,0.0
72,-455,1,11.99,11.99,0.0,0.0
73,-381,3,94.57,31.52333333333333,0.0,0.0
74,-455,1,41.99,41.99,0.0,0.0
75,-455,1,69.81,69.81,0.0,0.0
76,-455,1,9.99,9.99,0.0,0.0
77,-455,1,12.97,12.97,0.0,0.0
78,-443,1,41.52,41.52,53.74,1.0
79,-455,1,77.44,77.44,0.0,0.0
80,-455,1,43.46,43.46,0.0,0.0
81,-186,14,430.69,30.763571428571428,0.0,0.0
82,-33,5,202.51,40.501999999999995,40.29,1.0
83,-252,3,80.19,26.73,21.49,1.0
84,-455,1,13.97,13.97,0.0,0.0
85,-453,1,26.31,26.31,0.0,0.0
86,-455,1,23.94,23.94,0.0,0.0
87,-175,4,206.55,51.6375,0.0,0.0
88,-161,2,34.97,17.485,0.0,0.0
89,-33,17,530.89,31.228823529411763,40.99,1.0
90,-448,2,24.67,12.335,0.0,0.0
91,-455,1,32.54,32.54,0.0,0.0
92,-350,2,53.339999999999996,26.669999999999998,0.0,0.0
93,-453,2,219.32999999999998,109.66499999999999,0.0,0.0
94,-454,1,44.1,44.1,0.0,0.0
95,-16,25,1233.5,49.34,281.77,1.0
96,-23,17,1341.18,78.89294117647059,104.81,1.0
97,-4,4,324.75,81.1875,0.0,0.0
98,-313,2,76.46000000000001,38.230000000000004,0.0,0.0
99,-106,7,267.25,38.17857142857143,0.0,0.0
100,-111,2,26.259999999999998,13.129999999999999,28.98,1.0
101,-438,1,23.54,23.54,0.0,0.0
102,-31,4,157.47,39.3675,0.0,0.0
103,-360,2,80.83,40.415,29.66,1.0
104,-455,1,14.96,14.96,0.0,0.0
105,-455,1,35.31,35.31,0.0,0.0
106,-60,6,202.1,33.68333333333333,0.0,0.0
107,-455,1,21.99,21.99,0.0,0.0
108,-455,1,17.96,17.96,0.0,0.0
109,-423,2,204.45999999999998,102.22999999999999,0.0,0.0
110,-455,1,27.94,27.94,0.0,0.0
111,-34,14,978.5799999999999,69.89857142857143,128.45999999999998,1.0
112,-420,2,23.54,11.77,0.0,0.0
