customer_id,recency,frequency,price_sum,price_mean,spend_90_total
1,-455,1,11.77,11.77,0.69432783
2,-444,2,89.0,44.5,1.5292714
3,-127,5,139.47,27.894,7.942017
4,-110,4,100.5,25.125,7.2602177
5,-88,11,385.61,35.055454545454545,19.369946
6,-455,1,20.99,20.99,0.7338832
7,-10,3,264.67,88.22333333333334,20.581797
8,-3,8,197.66,24.7075,22.901957
9,-323,2,53.87,26.935,2.4356766
10,-435,1,39.31,39.31,0.7743681
11,-40,4,58.55,14.6375,7.1425724
12,-455,1,57.06,57.06,1.4444559
13,-455,1,72.94,72.94,1.0301503
14,-455,1,29.92,29.92,0.72463715
15,-455,1,52.87,52.87,1.185836
16,-203,4,79.87,19.9675,4.3478947
17,-455,1,73.22,73.22,1.0301503
18,-452,1,14.96,14.96,0.68146235
19,-295,2,175.12,87.56,4.4537477
20,-438,2,653.01,326.505,1.4557126
21,-443,2,75.11,37.555,1.4721174
22,-455,1,14.37,14.37,0.68146235
23,-455,1,24.74,24.74,0.7383893
24,-71,2,57.77,28.885,3.6554494
25,-159,4,64.1,16.025,4.587638
26,-430,2,102.69,51.345,1.466728
27,-444,2,135.87,67.935,1.1176801
28,-389,3,90.99,30.33,2.5646207
29,-150,11,387.36,35.21454545454546,18.969604
30,-411,2,28.34,14.17,0.88219005
31,-455,1,59.06,59.06,1.363626
32,-21,3,78.21,26.07,8.515725
33,-19,25,1045.47,41.8188,86.97697
34,-455,1,23.14,23.14,0.7338832
35,-186,2,42.22,21.11,2.6199477
36,-422,2,49.67999999999999,24.84,0.8739481
37,-150,5,128.2,25.64,11.436409
38,-455,1,12.49,12.49,0.69432783
39,-21,5,221.45,44.29,14.343689
40,-24,14,318.94,22.78142857142857,23.824171
41,-455,1,17.99,17.99,0.716885
42,-454,2,38.32,19.16,0.8848647
43,-124,4,102.83,25.7075,7.4470778
44,-286,3,59.65,19.883333333333333,3.008572
45,-455,1,14.37,14.37,0.68146235
46,-140,7,315.87,45.12428571428571,12.231768
47,-10,19,400.82,21.09578947368421,34.160866
48,-10,18,610.96,33.94222222222223,57.404106
49,-455,1,27.94,27.94,0.72463715
50,-455,1,6.79,6.79,0.6839506
51,-121,6,367.38,61.23,15.36914
52,-284,7,368.7,52.67142857142857,11.344932
53,-51,5,72.22,14.444,5.9453382
54,-455,1,33.96,33.96,0.7447135
55,-446,2,81.45,40.725,1.4969876
56,-105,4,129.19,32.2975,8.321103
57,-455,1,57.86,57.86,1.1758629
58,-455,1,20.99,20.99,0.7338832
59,-431,3,36.53,12.176666666666668,0.9802175
60,-424,1,21.75,21.75,0.7560696
61,-455,1,155.65,155.65,1.3955976
62,-154,11,237.15,21.55909090909091,9.800057
63,-130,2,71.95,35.975,3.698091
64,-29,10,272.35,27.235000000000003,25.60302
65,-10,3,68.74,22.91333333333333,6.1629744
