customer_id,date,quantity,price,month,year,dayofweek,day
1,1997-01-01,1,11.77,January,1997,2,Wednesday
2,1997-01-12,1,12.0,January,1997,6,Sunday
2,1997-01-12,5,77.0,January,1997,6,Sunday
3,1997-01-02,2,20.76,January,1997,3,Thursday
3,1997-03-30,2,20.76,March,1997,6,Sunday
3,1997-04-02,2,19.54,April,1997,2,Wednesday
3,1997-11-15,5,57.45,November,1997,5,Saturday
3,1997-11-25,4,20.96,November,1997,1,Tuesday
3,1998-05-28,1,16.99,May,1998,3,Thursday
4,1997-01-01,2,29.33,January,1997,2,Wednesday
4,1997-01-18,2,29.73,January,1997,5,Saturday
4,1997-08-02,1,14.96,August,1997,5,Saturday
4,1997-12-12,2,26.48,December,1997,4,Friday
5,1997-01-01,2,29.33,January,1997,2,Wednesday
5,1997-01-14,1,13.97,January,1997,1,Tuesday
5,1997-02-04,3,38.9,February,1997,1,Tuesday
5,1997-04-11,3,45.55,April,1997,4,Friday
5,1997-05-31,3,38.71,May,1997,5,Saturday
5,1997-06-16,2,26.14,June,1997,0,Monday
5,1997-07-22,2,28.14,July,1997,1,Tuesday
5,1997-09-15,3,40.47,September,1997,0,Monday
5,1997-12-08,4,46.46,December,1997,0,Monday
5,1997-12-12,3,40.47,December,1997,4,Friday
5,1998-01-03,3,37.47,January,1998,5,Saturday
6,1997-01-01,1,20.99,January,1997,2,Wednesday
7,1997-01-01,2,28.74,January,1997,2,Wednesday
7,1997-10-11,7,97.43,October,1997,5,Saturday
7,1998-03-22,9,138.5,March,1998,6,Sunday
8,1997-01-01,1,9.77,January,1997,2,Wednesday
8,1997-02-13,1,13.97,February,1997,3,Thursday
8,1997-06-17,3,45.29,June,1997,1,Tuesday
8,1997-07-03,2,36.76,July,1997,3,Thursday
8,1997-11-16,1,2.99,November,1997,6,Sunday
8,1997-11-16,7,50.43,November,1997,6,Sunday
8,1997-12-25,1,13.99,December,1997,3,Thursday
8,1998-03-29,2,24.46,March,1998,6,Sunday
9,1997-01-01,2,23.54,January,1997,2,Wednesday
9,1997-05-13,2,30.33,May,1997,1,Tuesday
9,1998-06-08,2,41.98,June,1998,0,Monday
